band_index,band_label,end_pos,max_nll,mean_nll,min_nll,n_positions,run_id,stage_id,start_pos
0,00-10%,819,6.33349609375,3.688195085350847,3.24237060546875,819,ext-125m-e2e-32K,S3_125M,1
1,10-20%,1638,3.98828125,3.5334344474969477,3.15869140625,819,ext-125m-e2e-32K,S3_125M,820
2,20-30%,2457,3.9761962890625,3.4963007031488478,3.0838623046875,819,ext-125m-e2e-32K,S3_125M,1639
3,30-40%,3276,3.9349365234375,3.4989557324457228,3.03076171875,819,ext-125m-e2e-32K,S3_125M,2458
4,40-50%,4096,3.9461669921875,3.4853039997379955,3.10107421875,820,ext-125m-e2e-32K,S3_125M,3277
5,50-60%,4915,3.91741943359375,3.481600098848634,3.0831298828125,819,ext-125m-e2e-32K,S3_125M,4097
6,60-70%,5734,3.906494140625,3.4977675404158557,3.11083984375,819,ext-125m-e2e-32K,S3_125M,4916
7,70-80%,6553,3.8582763671875,3.477836115165217,3.0753173828125,819,ext-125m-e2e-32K,S3_125M,5735
8,80-90%,7372,3.903564453125,3.472323053194635,3.0269775390625,819,ext-125m-e2e-32K,S3_125M,6554
9,90-100%,8192,3.8916015625,3.4729505957626716,3.05712890625,820,ext-125m-e2e-32K,S3_125M,7373
0,00-10%,819,7.0419921875,4.454297858716804,3.955322265625,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,1
1,10-20%,1638,4.825439453125,4.2713974800156445,3.8172607421875,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,820
2,20-30%,2457,4.6495361328125,4.215069706768926,3.7845458984375,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,1639
3,30-40%,3276,4.643798828125,4.206855298835279,3.7158203125,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,2458
4,40-50%,4096,4.7001953125,4.188337149271151,3.75244140625,820,ext-125m-e2e-32K-from-fa-bridge,S2_125M,3277
5,50-60%,4915,4.68328857421875,4.179091158949557,3.793701171875,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,4097
6,60-70%,5734,4.5997314453125,4.201201833648122,3.796875,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,4916
7,70-80%,6553,4.6533203125,4.176123650519402,3.77197265625,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,5735
8,80-90%,7372,4.604248046875,4.165802039215126,3.7298583984375,819,ext-125m-e2e-32K-from-fa-bridge,S2_125M,6554
9,90-100%,8192,4.630615234375,4.167908533608041,3.7752685546875,820,ext-125m-e2e-32K-from-fa-bridge,S2_125M,7373
