band_index,band_label,end_pos,max_nll,mean_nll,min_nll,n_positions,run_id,stage_id,start_pos
0,00-10%,3276,6.634521484375,3.386222620441218,2.8399658203125,3276,ext-125m-e2e-32K,S3_125M,1
1,10-20%,6553,3.8238525390625,3.289681330737014,2.9051513671875,3277,ext-125m-e2e-32K,S3_125M,3277
2,20-30%,9830,3.7548828125,3.293440801616409,2.90179443359375,3277,ext-125m-e2e-32K,S3_125M,6554
3,30-40%,13107,3.7269287109375,3.264892108999886,2.825103759765625,3277,ext-125m-e2e-32K,S3_125M,9831
4,40-50%,16384,3.72039794921875,3.26181850311121,2.83026123046875,3277,ext-125m-e2e-32K,S3_125M,13108
5,50-60%,19660,3.73162841796875,3.2574967371529566,2.8909912109375,3276,ext-125m-e2e-32K,S3_125M,16385
6,60-70%,22937,3.7525634765625,3.2610233226563095,2.85003662109375,3277,ext-125m-e2e-32K,S3_125M,19661
7,70-80%,26214,3.6912841796875,3.240112642271329,2.791015625,3277,ext-125m-e2e-32K,S3_125M,22938
8,80-90%,29491,3.687255859375,3.233275024418719,2.827880859375,3277,ext-125m-e2e-32K,S3_125M,26215
9,90-100%,32768,3.657470703125,3.231031736223153,2.80224609375,3277,ext-125m-e2e-32K,S3_125M,29492
0,00-10%,3276,7.33447265625,4.0765607878110925,3.4893798828125,3276,ext-125m-e2e-32K-from-fa-bridge,S2_125M,1
1,10-20%,6553,4.458740234375,3.9526052233428537,3.5260009765625,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,3277
2,20-30%,9830,4.461181640625,3.9454392266411733,3.48779296875,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,6554
3,30-40%,13107,4.3780517578125,3.9078882710396026,3.46533203125,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,9831
4,40-50%,16384,4.4775390625,3.9015311682628067,3.451904296875,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,13108
5,50-60%,19660,4.3946533203125,3.8974008432092537,3.502685546875,3276,ext-125m-e2e-32K-from-fa-bridge,S2_125M,16385
6,60-70%,22937,4.36962890625,3.8984914016607224,3.478759765625,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,19661
7,70-80%,26214,4.334716796875,3.8715698549505193,3.4346923828125,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,22938
8,80-90%,29491,4.3367919921875,3.8586349836529337,3.40582275390625,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,26215
9,90-100%,32768,4.3135986328125,3.8603921796550176,3.416748046875,3277,ext-125m-e2e-32K-from-fa-bridge,S2_125M,29492
