band_index,band_label,delta_mean_nll,end_pos,from_mean_nll,from_stage,paper_run_id,start_pos,to_mean_nll,to_stage
0,00-10%,0.6903381673698745,3276,3.386222620441218,S3_125M,protocol_r_125m_main_v1,1,4.0765607878110925,S2_125M
1,10-20%,0.6629238926058396,6553,3.289681330737014,S3_125M,protocol_r_125m_main_v1,3277,3.9526052233428537,S2_125M
2,20-30%,0.6519984250247641,9830,3.293440801616409,S3_125M,protocol_r_125m_main_v1,6554,3.9454392266411733,S2_125M
3,30-40%,0.6429961620397164,13107,3.264892108999886,S3_125M,protocol_r_125m_main_v1,9831,3.9078882710396026,S2_125M
4,40-50%,0.6397126651515967,16384,3.26181850311121,S3_125M,protocol_r_125m_main_v1,13108,3.9015311682628067,S2_125M
5,50-60%,0.6399041060562971,19660,3.2574967371529566,S3_125M,protocol_r_125m_main_v1,16385,3.8974008432092537,S2_125M
6,60-70%,0.6374680790044129,22937,3.2610233226563095,S3_125M,protocol_r_125m_main_v1,19661,3.8984914016607224,S2_125M
7,70-80%,0.6314572126791904,26214,3.240112642271329,S3_125M,protocol_r_125m_main_v1,22938,3.8715698549505193,S2_125M
8,80-90%,0.6253599592342147,29491,3.233275024418719,S3_125M,protocol_r_125m_main_v1,26215,3.8586349836529337,S2_125M
9,90-100%,0.6293604434318647,32768,3.231031736223153,S3_125M,protocol_r_125m_main_v1,29492,3.8603921796550176,S2_125M
