band_index,band_label,end_pos,max_nll,mean_nll,min_nll,n_positions,run_id,stage_id,start_pos
0,00-10%,819,6.181640625,3.173577351738973,2.7164306640625,819,ext-760m-e2e-32K,S3,1
1,10-20%,1638,3.4132080078125,3.0069907983726343,2.6439208984375,819,ext-760m-e2e-32K,S3,820
2,20-30%,2457,3.419677734375,2.96858643845033,2.53399658203125,819,ext-760m-e2e-32K,S3,1639
3,30-40%,3276,3.36883544921875,2.9707517519101994,2.4617919921875,819,ext-760m-e2e-32K,S3,2458
4,40-50%,4096,3.397216796875,2.9549551056652534,2.6004638671875,820,ext-760m-e2e-32K,S3,3277
5,50-60%,4915,3.3143310546875,2.950407240125868,2.635986328125,819,ext-760m-e2e-32K,S3,4097
6,60-70%,5734,3.4559326171875,2.9624329172211255,2.61712646484375,819,ext-760m-e2e-32K,S3,4916
7,70-80%,6553,3.3687744140625,2.9465296259729854,2.5191650390625,819,ext-760m-e2e-32K,S3,5735
8,80-90%,7372,3.362060546875,2.951261415586367,2.5556640625,819,ext-760m-e2e-32K,S3,6554
9,90-100%,8192,3.3857421875,2.9415903975323934,2.52154541015625,820,ext-760m-e2e-32K,S3,7373
0,00-10%,819,6.4248046875,3.546551565838675,3.08056640625,819,ext-760m-e2e-32K-from-fa-bridge,S2,1
1,10-20%,1638,3.8199462890625,3.375794947511256,3.01605224609375,819,ext-760m-e2e-32K-from-fa-bridge,S2,820
2,20-30%,2457,3.760986328125,3.3293685447310937,2.9046630859375,819,ext-760m-e2e-32K-from-fa-bridge,S2,1639
3,30-40%,3276,3.74853515625,3.326993353055365,2.8709716796875,819,ext-760m-e2e-32K-from-fa-bridge,S2,2458
4,40-50%,4096,3.7945556640625,3.3093429937595276,2.9537353515625,820,ext-760m-e2e-32K-from-fa-bridge,S2,3277
5,50-60%,4915,3.736328125,3.3086155110080893,2.935546875,819,ext-760m-e2e-32K-from-fa-bridge,S2,4097
6,60-70%,5734,3.7725830078125,3.3278636443309293,2.980712890625,819,ext-760m-e2e-32K-from-fa-bridge,S2,4916
7,70-80%,6553,3.7098388671875,3.305804204882574,2.8817138671875,819,ext-760m-e2e-32K-from-fa-bridge,S2,5735
8,80-90%,7372,3.7274169921875,3.3054062839829443,2.8955078125,819,ext-760m-e2e-32K-from-fa-bridge,S2,6554
9,90-100%,8192,3.769775390625,3.304316376476753,2.91455078125,820,ext-760m-e2e-32K-from-fa-bridge,S2,7373
