band_index,band_label,delta_mean_nll,end_pos,from_mean_nll,from_stage,paper_run_id,start_pos,to_mean_nll,to_stage
0,00-10%,0.3729742140997021,819,3.173577351738973,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,1,3.546551565838675,S2
1,10-20%,0.3688041491386218,1638,3.0069907983726343,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,820,3.375794947511256,S2
2,20-30%,0.3607821062807637,2457,2.96858643845033,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,1639,3.3293685447310937,S2
3,30-40%,0.35624160114516545,3276,2.9707517519101994,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,2458,3.326993353055365,S2
4,40-50%,0.35438788809427413,4096,2.9549551056652534,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,3277,3.3093429937595276,S2
5,50-60%,0.3582082708822214,4915,2.950407240125868,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,4097,3.3086155110080893,S2
6,60-70%,0.36543072710980384,5734,2.9624329172211255,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,4916,3.3278636443309293,S2
7,70-80%,0.3592745789095888,6553,2.9465296259729854,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,5735,3.305804204882574,S2
8,80-90%,0.35414486839657755,7372,2.951261415586367,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,6554,3.3054062839829443,S2
9,90-100%,0.36272597894435954,8192,2.9415903975323934,S3,protocol_r_760m_author_seed_v1_dclm8k_s2s3_eval,7373,3.304316376476753,S2
