band_index,band_label,delta_mean_nll,end_pos,from_mean_nll,from_stage,paper_run_id,start_pos,to_mean_nll,to_stage
0,00-10%,0.32298752268883213,3276,2.77840944553324,S3,protocol_r_760m_author_seed_v1,1,3.101396968222072,S2
1,10-20%,0.3195654098166174,6553,2.6839705776578957,S3,protocol_r_760m_author_seed_v1,3277,3.003535987474513,S2
2,20-30%,0.3186310938956498,9830,2.691456414956962,S3,protocol_r_760m_author_seed_v1,6554,3.010087508852612,S2
3,30-40%,0.3160908131254567,13107,2.6688120285839725,S3,protocol_r_760m_author_seed_v1,9831,2.984902841709429,S2
4,40-50%,0.31560938802840743,16384,2.6669382928237706,S3,protocol_r_760m_author_seed_v1,13108,2.982547680852178,S2
5,50-60%,0.3185251536386793,19660,2.660264642829569,S3,protocol_r_760m_author_seed_v1,16385,2.978789796468248,S2
6,60-70%,0.3190668011206408,22937,2.6644762118924197,S3,protocol_r_760m_author_seed_v1,19661,2.9835430130130605,S2
7,70-80%,0.31666924409979824,26214,2.649737688983618,S3,protocol_r_760m_author_seed_v1,22938,2.9664069330834164,S2
8,80-90%,0.3179244983476366,29491,2.644190107571995,S3,protocol_r_760m_author_seed_v1,26215,2.9621146059196315,S2
9,90-100%,0.319482265538765,32768,2.6402181922789203,S3,protocol_r_760m_author_seed_v1,29492,2.9597004578176853,S2
