scale,mode,extra_steps,checkpoint_step,loss_ce_mean,matched_target,reference_s2_loss,reference_s3_loss,stage_id,run_id,status,snapshot_dir
125M,iso_quality,0,479,3.917266845703125,False,3.917266845703125,3.2729225158691406,S2_125M,ext-125m-e2e-32K-from-fa-bridge,succeeded,
125M,iso_quality,1,480,3.9171371459960938,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to0840,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to0840/step_480
125M,iso_quality,121,600,3.9126129150390625,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to0840,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to0840/step_600
125M,iso_quality,241,720,3.9064407348632812,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to0840,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to0840/step_720
125M,iso_quality,360,839,3.9018402099609375,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to0840,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to0840/step_839
125M,iso_quality,361,840,3.90179443359375,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to1200,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to1200/step_840
125M,iso_quality,481,960,3.8982315063476562,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to1200,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to1200/step_960
125M,iso_quality,601,1080,3.8927841186523438,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to1200,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to1200/step_1080
125M,iso_quality,720,1199,3.88812255859375,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to1200,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to1200/step_1199
125M,iso_quality,721,1200,3.8882217407226562,False,3.917266845703125,3.2729225158691406,S2_125M,s2-125m-isoq-to1560,succeeded,/Users/lumontoya/omscs/cs8903/Reproducing-TTT-E2E/reports/paper/protocol_r_125m_ablations_v1/eval_snapshots/iso_quality/s2-125m-isoq-to1560/step_1200
