scale,condition,stage_id,run_id,step,loss_ce_raw,loss_ce_smooth
125M,S0,S0_125M,ext-125m-fa-32K,0,11.9375,10.64423076923077
125M,S0,S0_125M,ext-125m-fa-32K,1,11.9375,10.535714285714286
125M,S0,S0_125M,ext-125m-fa-32K,2,11.5625,10.416666666666666
125M,S0,S0_125M,ext-125m-fa-32K,3,11.1875,10.31640625
125M,S0,S0_125M,ext-125m-fa-32K,4,10.9375,10.198529411764707
125M,S0,S0_125M,ext-125m-fa-32K,5,10.75,10.083333333333334
125M,S0,S0_125M,ext-125m-fa-32K,6,10.5,9.96875
125M,S0,S0_125M,ext-125m-fa-32K,7,10.4375,9.8671875
125M,S0,S0_125M,ext-125m-fa-32K,8,10.375,9.773809523809524
125M,S0,S0_125M,ext-125m-fa-32K,9,10.0,9.701704545454545
125M,S0,S0_125M,ext-125m-fa-32K,10,9.875,9.630434782608695
125M,S0,S0_125M,ext-125m-fa-32K,11,9.5625,9.553385416666666
125M,S0,S0_125M,ext-125m-fa-32K,12,9.3125,9.4725
125M,S0,S0_125M,ext-125m-fa-32K,13,9.125,9.3
125M,S0,S0_125M,ext-125m-fa-32K,14,8.75,9.13625
125M,S0,S0_125M,ext-125m-fa-32K,15,8.8125,8.985
125M,S0,S0_125M,ext-125m-fa-32K,16,8.3125,8.85
125M,S0,S0_125M,ext-125m-fa-32K,17,8.125,8.72125
125M,S0,S0_125M,ext-125m-fa-32K,18,7.90625,8.58625
125M,S0,S0_125M,ext-125m-fa-32K,19,7.9375,8.46375
125M,S0,S0_125M,ext-125m-fa-32K,20,7.90625,8.34375
125M,S0,S0_125M,ext-125m-fa-32K,21,8.1875,8.22875
125M,S0,S0_125M,ext-125m-fa-32K,22,8.0625,8.13875
125M,S0,S0_125M,ext-125m-fa-32K,23,7.78125,8.05
125M,S0,S0_125M,ext-125m-fa-32K,24,7.53125,7.975
125M,S0,S0_125M,ext-125m-fa-32K,25,7.625,7.90625
125M,S0,S0_125M,ext-125m-fa-32K,26,7.84375,7.83625
125M,S0,S0_125M,ext-125m-fa-32K,27,7.78125,7.7825
125M,S0,S0_125M,ext-125m-fa-32K,28,7.8125,7.73125
125M,S0,S0_125M,ext-125m-fa-32K,29,7.71875,7.7
125M,S0,S0_125M,ext-125m-fa-32K,30,7.375,7.675
125M,S0,S0_125M,ext-125m-fa-32K,31,7.4375,7.655
125M,S0,S0_125M,ext-125m-fa-32K,32,7.4375,7.6475
125M,S0,S0_125M,ext-125m-fa-32K,33,7.5,7.63125
125M,S0,S0_125M,ext-125m-fa-32K,34,7.75,7.60125
125M,S0,S0_125M,ext-125m-fa-32K,35,7.65625,7.59375
125M,S0,S0_125M,ext-125m-fa-32K,36,7.6875,7.575
125M,S0,S0_125M,ext-125m-fa-32K,37,7.59375,7.56875
125M,S0,S0_125M,ext-125m-fa-32K,38,7.375,7.5725
125M,S0,S0_125M,ext-125m-fa-32K,39,7.40625,7.54
125M,S0,S0_125M,ext-125m-fa-32K,40,7.53125,7.51625
125M,S0,S0_125M,ext-125m-fa-32K,41,7.53125,7.50375
125M,S0,S0_125M,ext-125m-fa-32K,42,7.5,7.48
125M,S0,S0_125M,ext-125m-fa-32K,43,7.40625,7.47375
125M,S0,S0_125M,ext-125m-fa-32K,44,7.75,7.47875
125M,S0,S0_125M,ext-125m-fa-32K,45,7.5,7.475
125M,S0,S0_125M,ext-125m-fa-32K,46,7.4375,7.45875
125M,S0,S0_125M,ext-125m-fa-32K,47,7.875,7.42625
125M,S0,S0_125M,ext-125m-fa-32K,48,7.3125,7.40625
125M,S0,S0_125M,ext-125m-fa-32K,49,7.375,7.39375
